Specialty	Class	Year	Name	Value
Anesthesiology	PGY2	2019	Change in U.S. Senior Matches	0
Anesthesiology	PGY2	2019	Change in Total Matches	-22
Anesthesiology	PGY2	2019	Change in U.S. Senior Ranked Positions	156
Anesthesiology	PGY2	2019	Change in Total Ranked Positions	111
Anesthesiology	PGY2	2019	Change in U.S. Senior Average Ranked Programs	-0.09999999999999964
Anesthesiology	PGY2	2019	Change in Total Average Ranked Programs	-0.3000000000000007
Anesthesiology	PGY2	2020	No. of Programs	62
Anesthesiology	PGY2	2020	Positions Offered	398
Anesthesiology	PGY2	2020	Unfilled Programs	1
Anesthesiology	PGY2	2020	U.S. Senior Applicants	1038
Anesthesiology	PGY2	2020	Total Applicants	1743
Anesthesiology	PGY2	2020	U.S. Senior Matches	265
Anesthesiology	PGY2	2020	Total Matches	396
Anesthesiology	PGY2	2020	U.S. Senior Ranked Positions	5353
Anesthesiology	PGY2	2020	Total Ranked Positions	7644
Anesthesiology	PGY2	2020	U.S. Senior Average Ranked Programs	5.2
Anesthesiology	PGY2	2020	Total Average Ranked Programs	4.4
Anesthesiology	PGY2	2020	Change in No. of Programs	-9
Anesthesiology	PGY2	2020	Change in Positions Offered	-30
Anesthesiology	PGY2	2020	Change in Unfilled Programs	-5
Anesthesiology	PGY2	2020	Change in U.S. Senior Applicants	72
Anesthesiology	PGY2	2020	Change in Total Applicants	25
Anesthesiology	PGY2	2020	Change in U.S. Senior Matches	19
Anesthesiology	PGY2	2020	Change in Total Matches	-24
Anesthesiology	PGY2	2020	Change in U.S. Senior Ranked Positions	54
Anesthesiology	PGY2	2020	Change in Total Ranked Positions	-248
Anesthesiology	PGY2	2020	Change in U.S. Senior Average Ranked Programs	-0.2999999999999998
Anesthesiology	PGY2	2020	Change in Total Average Ranked Programs	-0.1999999999999993
Anesthesiology	PGY2	2021	No. of Programs	57
Anesthesiology	PGY2	2021	Positions Offered	339
Anesthesiology	PGY2	2021	Unfilled Programs	0
Anesthesiology	PGY2	2021	U.S. Senior Applicants	1030
Anesthesiology	PGY2	2021	Total Applicants	1874
Anesthesiology	PGY2	2021	U.S. Senior Matches	211
Anesthesiology	PGY2	2021	Total Matches	339
Anesthesiology	PGY2	2021	U.S. Senior Ranked Positions	5520
Anesthesiology	PGY2	2021	Total Ranked Positions	8246
Anesthesiology	PGY2	2021	U.S. Senior Average Ranked Programs	5.4
Anesthesiology	PGY2	2021	Total Average Ranked Programs	4.4
Anesthesiology	PGY2	2021	Change in No. of Programs	-5
